# Dend2 Dend3   Potential
8.000000000000000000e+00 2.800000000000000000e+01 3.015977659019083390e+01
8.000000000000000000e+00 2.900000000000000000e+01 3.024043030183528202e+01
9.000000000000000000e+00 0.000000000000000000e+00 -6.511271768721086062e+01
9.000000000000000000e+00 1.000000000000000000e+00 -6.419617212592616795e+01
9.000000000000000000e+00 2.000000000000000000e+00 -6.330339783486459027e+01
9.000000000000000000e+00 3.000000000000000000e+00 -6.242069201835288084e+01
9.000000000000000000e+00 4.000000000000000000e+00 -6.152989762165388754e+01
9.000000000000000000e+00 5.000000000000000000e+00 -6.060363723306129202e+01
9.000000000000000000e+00 6.000000000000000000e+00 -5.959371398998420943e+01
9.000000000000000000e+00 7.000000000000000000e+00 -5.839307425016106379e+01
9.000000000000000000e+00 8.000000000000000000e+00 -5.662004835750290965e+01
9.000000000000000000e+00 9.000000000000000000e+00 1.946323986024528807e+01
9.000000000000000000e+00 1.000000000000000000e+01 2.367536564370766783e+01
9.000000000000000000e+00 1.100000000000000000e+01 2.533193276723987708e+01
9.000000000000000000e+00 1.200000000000000000e+01 2.634816456809995699e+01
9.000000000000000000e+00 1.300000000000000000e+01 2.706266059941282620e+01
9.000000000000000000e+00 1.400000000000000000e+01 2.760542842247154383e+01
9.000000000000000000e+00 1.500000000000000000e+01 2.803491823476877443e+01
9.000000000000000000e+00 1.600000000000000000e+01 2.838812056032318409e+01
9.000000000000000000e+00 1.700000000000000000e+01 2.868440262825544096e+01
9.000000000000000000e+00 1.800000000000000000e+01 2.893604396467497253e+01
9.000000000000000000e+00 1.900000000000000000e+01 2.915407194810876490e+01
9.000000000000000000e+00 2.000000000000000000e+01 2.934190243442138879e+01
9.000000000000000000e+00 2.100000000000000000e+01 2.951270500898455396e+01
9.000000000000000000e+00 2.200000000000000000e+01 2.966245889042600936e+01
9.000000000000000000e+00 2.300000000000000000e+01 2.979386605138074273e+01
9.000000000000000000e+00 2.400000000000000000e+01 2.991800396699266429e+01
9.000000000000000000e+00 2.500000000000000000e+01 3.002785553933836127e+01
9.000000000000000000e+00 2.600000000000000000e+01 3.012717175233173350e+01
9.000000000000000000e+00 2.700000000000000000e+01 3.021953574719868030e+01
9.000000000000000000e+00 2.800000000000000000e+01 3.030257341831296714e+01
9.000000000000000000e+00 2.900000000000000000e+01 3.038087395131580593e+01
1.000000000000000000e+01 0.000000000000000000e+00 -6.477542251014389763e+01
1.000000000000000000e+01 1.000000000000000000e+00 -6.385589826913100353e+01
1.000000000000000000e+01 2.000000000000000000e+00 -6.295464386063530071e+01
1.000000000000000000e+01 3.000000000000000000e+00 -6.205434335404560642e+01
1.000000000000000000e+01 4.000000000000000000e+00 -6.113361545057699686e+01
1.000000000000000000e+01 5.000000000000000000e+00 -6.015712308855135859e+01
1.000000000000000000e+01 6.000000000000000000e+00 -5.905556098894385997e+01
1.000000000000000000e+01 7.000000000000000000e+00 -5.763388781606431621e+01
1.000000000000000000e+01 8.000000000000000000e+00 -5.430329338698894759e+01
1.000000000000000000e+01 9.000000000000000000e+00 2.246987454410561114e+01
1.000000000000000000e+01 1.000000000000000000e+01 2.478065346777645317e+01
